2026-04-06 01:08:38,248 | INFO | Ambiente de execução: local
2026-04-06 01:08:38,248 | INFO | Executando Camada Bronze
2026-04-06 01:08:39,954 | INFO | Executando Camada Silver
2026-04-06 01:08:40,404 | INFO | View Spark silver_taxi finalizada com sucesso!
2026-04-06 01:08:40,404 | INFO | Executando Camada Gold - Análise de valor médio por mês
2026-04-06 01:08:42,434 | INFO | Executando Camada Gold - Análise de passageiros por hora
2026-04-06 01:08:43,318 | INFO | Closing down clientserver connection
2026-04-06 20:37:09,844 | INFO | Ambiente de execução: local
2026-04-06 20:37:09,844 | INFO | Executando Camada Bronze
2026-04-06 20:37:09,845 | INFO | Executando Camada Silver
2026-04-06 20:38:14,749 | INFO | Python Server ready to receive messages
2026-04-06 20:38:14,750 | INFO | Received command c on object id p0
2026-04-06 20:38:14,819 | INFO | Ambiente de execução: local
2026-04-06 20:38:14,819 | INFO | Executando Camada Bronze
2026-04-06 20:38:14,820 | INFO | Executando Camada Silver
2026-04-06 20:38:55,552 | INFO | Received command c on object id p0
2026-04-06 20:38:55,633 | INFO | Ambiente de execução: local
2026-04-06 20:38:55,633 | INFO | Executando Camada Bronze
2026-04-06 20:38:55,634 | INFO | Executando Camada Silver
2026-04-06 20:41:05,570 | INFO | Ambiente de execução: databricks
2026-04-06 20:41:05,571 | INFO | Executando Camada Bronze
2026-04-06 20:41:05,571 | INFO | Executando Camada Silver
2026-04-06 20:41:16,906 | INFO | View Spark silver_taxi finalizada com sucesso!
2026-04-06 20:41:16,907 | INFO | Executando Camada Gold - Análise de valor médio por mês
2026-04-06 20:41:19,765 | INFO | Executando Camada Gold - Análise de passageiros por hora
